block,rows,year,region,cells,naps_ids,station_names,target_min,target_mean,target_max,feature_cols,resolved_direct,resolved_translated,resolved_absent,raw_feature_nan_cells,all_nan_feature_count,constant_feature_count
PAIR_2012_Central,2903,2012,Central,8,8,8,0.0,5.6193071814710125,28.208333333333332,651,213,438,0,29923,3,3
PAIR_2012_East,2181,2012,East,6,8,8,0.0,5.1118581000911085,27.375,651,213,438,0,29419,3,3
PAIR_2012_North,1797,2012,North,5,5,5,0.0,4.251459126700089,36.333333333333336,651,213,438,0,76034,3,3
PAIR_2012_Toronto,1827,2012,Toronto,5,6,6,0.0,6.73116304652551,32.125,651,213,438,0,17000,3,6
PAIR_2012_West_NH,2550,2012,West_NH,7,8,8,-1.5,6.5659223385385035,32.958333333333336,651,213,438,0,119260,3,3
PAIR_2012_West_SW,2879,2012,West_SW,8,8,8,0.0,6.785177385337263,28.416666666666668,651,213,438,0,174401,3,3
PAIR_2013_Central,2906,2013,Central,8,8,8,0.0,7.567559753675811,40.5,651,213,438,0,29311,3,4
PAIR_2013_East,2176,2013,East,6,8,8,0.0,6.727759617540035,55.166666666666664,651,213,438,0,30625,3,4
PAIR_2013_North,1814,2013,North,5,5,5,0.0,5.708772003037409,23.666666666666668,651,213,438,0,80623,3,4
PAIR_2013_Toronto,1806,2013,Toronto,5,5,5,0.06666666666666667,8.566806069492017,39.583333333333336,651,213,438,0,15878,3,5
PAIR_2013_West_NH,2522,2013,West_NH,7,8,8,0.7083333333333334,8.745547720476258,42.833333333333336,651,213,438,0,116643,3,4
PAIR_2013_West_SW,2842,2013,West_SW,8,8,8,0.0,8.200696928109833,31.833333333333332,651,213,438,0,174126,3,4
PAIR_2014_Central,2920,2014,Central,8,8,8,0.0,7.957150679466847,42.375,651,213,438,0,30778,3,4
PAIR_2014_East,2189,2014,East,6,7,7,0.375,6.547894217765524,30.958333333333332,651,213,438,0,31318,3,4
PAIR_2014_North,1809,2014,North,5,5,5,0.041666666666666664,5.954614187529924,24.636363636363637,651,213,438,0,81333,3,4
PAIR_2014_Toronto,1823,2014,Toronto,5,5,5,0.8333333333333334,9.125790270195363,39.095238095238095,651,213,438,0,16806,3,5
PAIR_2014_West_NH,2188,2014,West_NH,7,7,7,0.0,8.150561607770554,56.458333333333336,651,213,438,0,116143,3,4
PAIR_2014_West_SW,2908,2014,West_SW,8,8,8,0.15384615384615385,8.728116932790893,41.0,651,213,438,0,176341,3,4
