base_variable,n_features,mean_abs_shap,sd_across_folds,min_across_folds,max_across_folds,share_of_total
pred_stage1,2,0.18199422403822754,,0.18199422403822754,0.18199422403822754,0.2943912482419189
src_viirs_count_1000km,4,0.06060521885852449,,0.06060521885852449,0.06060521885852449,0.09803413335792517
AOD_055_filled,2,0.044025096970090105,,0.044025096970090105,0.044025096970090105,0.07121436583764328
src_hms_density_weight_wmean_250km,2,0.028757090418490425,,0.028757090418490425,0.028757090418490425,0.046517057279394154
src_viirs_count_250km,4,0.026284538912701272,,0.026284538912701272,0.026284538912701272,0.042517493403241624
AOD_055,2,0.023720483776067103,,0.023720483776067103,0.023720483776067103,0.038369914565375404
burned_nearest_km_1000km,2,0.023581506560591114,,0.023581506560591114,0.023581506560591114,0.038145107013611734
src_viirs_count_500km,4,0.023194098239992987,,0.023194098239992987,0.023194098239992987,0.0375184408670189
src_hms_density_weight_wmean_100km,2,0.021415787034018235,,0.021415787034018235,0.021415787034018235,0.03464187014915076
src_hms_density_weight_wmean_500km,2,0.018941734596532853,,0.018941734596532853,0.018941734596532853,0.03063987838739959
src_viirs_dist_nearest_1000km,4,0.017484376798649878,,0.017484376798649878,0.017484376798649878,0.02828247730216655
src_viirs_dist_nearest_100km,4,0.016788358869705644,,0.016788358869705644,0.016788358869705644,0.02715660867648088
src_viirs_dist_nearest_250km,4,0.015758708729452512,,0.015758708729452512,0.015758708729452512,0.025491061367804116
src_viirs_count_100km,4,0.015543358893035751,,0.015543358893035751,0.015543358893035751,0.02514271455907184
src_viirs_dist_nearest_500km,4,0.015292083610907076,,0.015292083610907076,0.015292083610907076,0.024736255264283104
src_viirs_frp_mw_sum_1000km,2,0.014382143160652321,,0.014382143160652321,0.014382143160652321,0.023264348634323005
src_viirs_frp_mw_sum_250km,2,0.013379782788478914,,0.013379782788478914,0.013379782788478914,0.021642944863341892
src_hms_density_weight_wmean_1000km,2,0.011880142943017011,,0.011880142943017011,0.011880142943017011,0.019217148943982847
src_viirs_frp_mw_sum_500km,2,0.010210601094900981,,0.010210601094900981,0.010210601094900981,0.016516521980372397
AOD_047,2,0.009558712883452804,,0.009558712883452804,0.009558712883452804,0.015462036953187631
src_viirs_frp_mw_sum_100km,2,0.007954215867765346,,0.007954215867765346,0.007954215867765346,0.012866625578212082
src_hms_any_500km,2,0.004618126387677353,,0.004618126387677353,0.004618126387677353,0.007470215052109082
src_hms_any_1000km,2,0.003894432675411445,,0.003894432675411445,0.003894432675411445,0.006299578476005226
aod_obs_flag,2,0.0032795267482800972,,0.0032795267482800972,0.0032795267482800972,0.005304915461856336
burned_frac_1000km,2,0.0022984583859143007,,0.0022984583859143007,0.0022984583859143007,0.0037179533407570614
aod_imputed_flag,2,0.0016579673482672328,,0.0016579673482672328,0.0016579673482672328,0.002681904218554828
burned_weighted_frac_1000km,2,0.0010656107733038255,,0.0010656107733038255,0.0010656107733038255,0.0017237167132680884
src_hms_any_250km,2,0.00047495642006725096,,0.00047495642006725096,0.00047495642006725096,0.0007682826974483632
src_hms_any_100km,2,0.00016393617941862833,,0.00016393617941862833,0.00016393617941862833,0.0002651808140950889
burned_nearest_km_500km,2,0.0,,0.0,0.0,0.0
burned_frac_500km,2,0.0,,0.0,0.0,0.0
burned_weighted_frac_500km,2,0.0,,0.0,0.0,0.0
