base_variable,n_features,mean_abs_shap,sd_across_folds,min_across_folds,max_across_folds,share_of_total
src_merra_aer_BCSMASS_wmean_1000km,8,0.869312135803211,,0.869312135803211,0.869312135803211,0.09308911812669779
src_merra_aer_BCSMASS_wmean_500km,8,0.7122777488175656,,0.7122777488175656,0.7122777488175656,0.07627330249730517
src_merra_aer_BCSMASS_wmean_250km,8,0.3946711303917458,,0.3946711303917458,0.3946711303917458,0.0422628259345403
src_merra_aer_BCSMASS_point,1,0.32231964915690514,,0.32231964915690514,0.32231964915690514,0.03451516510487913
src_merra_flx_QLML_wmean_1000km,8,0.239430119734637,,0.239430119734637,0.239430119734637,0.025639051591605184
src_merra_slv_V2M_wmean_1000km,1,0.22901377538029938,,0.22901377538029938,0.22901377538029938,0.024523631398887667
lcdc,1,0.16523347270133565,,0.16523347270133565,0.16523347270133565,0.01769380366991802
src_merra_flx_QLML_wmean_500km,8,0.16357265905715493,,0.16357265905715493,0.16357265905715493,0.017515957679804562
src_merra_aer_SO4SMASS_point,1,0.15423036719612326,,0.15423036719612326,0.15423036719612326,0.01651555095038265
ca_road_cell_lon,1,0.1524267929659645,,0.1524267929659645,0.1524267929659645,0.016322417635377923
src_merra_flx_SPEED_wmean_250km,8,0.1424373866747979,,0.1424373866747979,0.1424373866747979,0.015252715529591962
AOD_055_filled,8,0.14082930058135237,,0.14082930058135237,0.14082930058135237,0.015080515798165989
src_viirs_count_1000km,8,0.13879699734838846,,0.13879699734838846,0.13879699734838846,0.014862889346249674
src_merra_flx_TLML_wmean_250km,8,0.13079287195592915,,0.13079287195592915,0.13079287195592915,0.014005778369107838
src_merra_flx_QLML_wmean_250km,8,0.12396083743237711,,0.12396083743237711,0.12396083743237711,0.013274179162545531
air_sfc,1,0.11939162739473917,,0.11939162739473917,0.11939162739473917,0.012784891465501741
src_merra_slv_V250_wmean_500km,8,0.11131791166105634,,0.11131791166105634,0.11131791166105634,0.011920328500486013
src_merra_slv_V2M_wmean_500km,1,0.10940261832892659,,0.10940261832892659,0.10940261832892659,0.011715231896057308
src_merra_aer_OCSMASS_point,1,0.10766588400706721,,0.10766588400706721,0.10766588400706721,0.011529256042524699
src_merra_aer_BCSMASS_wmean_100km,8,0.10595080623112274,,0.10595080623112274,0.10595080623112274,0.011345599251015796
src_merra_aer_DUSMASS25_wmean_250km,8,0.09332267576920643,,0.09332267576920643,0.09332267576920643,0.009993332924718025
ca_lc_lc_frac_class_6,1,0.09049007836271812,,0.09049007836271812,0.09049007836271812,0.009690008050121244
dayofyear,1,0.08940103594748623,,0.08940103594748623,0.08940103594748623,0.009573389411244386
src_merra_slv_V250_wmean_1000km,8,0.08625472655962022,,0.08625472655962022,0.08625472655962022,0.009236471112042706
src_merra_slv_V250_wmean_250km,8,0.08464165935081648,,0.08464165935081648,0.08464165935081648,0.009063737984593733
src_merra_aer_SO4SMASS_wmean_250km,8,0.08170521230281043,,0.08170521230281043,0.08170521230281043,0.008749292511136651
mcdc,1,0.08163145381744008,,0.08163145381744008,0.08163145381744008,0.008741394183165947
src_merra_aer_SO4SMASS_wmean_1000km,8,0.0812148833734118,,0.0812148833734118,0.0812148833734118,0.00869678629875351
src_merra_flx_SPEED_wmean_500km,8,0.08082621431661305,,0.08082621431661305,0.08082621431661305,0.008655166196778169
src_viirs_count_500km,8,0.07911330695332006,,0.07911330695332006,0.07911330695332006,0.008471741820982075
src_merra_flx_SPEED_wmean_1000km,8,0.07815265569286918,,0.07815265569286918,0.07815265569286918,0.008368871775828448
src_merra_slv_U850_wmean_1000km,8,0.07559355448765567,,0.07559355448765567,0.07559355448765567,0.008094833873239888
ca_road_major_road_length_km,1,0.07200728891345275,,0.07200728891345275,0.07200728891345275,0.007710803458937401
src_merra_aer_SO4SMASS_wmean_500km,8,0.07095573376842926,,0.07095573376842926,0.07095573376842926,0.007598199093853526
ca_lc_lc_pixel_count,1,0.07063924065633444,,0.07063924065633444,0.07063924065633444,0.007564307855615077
src_merra_slv_V500_wmean_500km,8,0.0693133402954934,,0.0693133402954934,0.0693133402954934,0.0074223256029452445
src_merra_aer_DUSMASS25_wmean_1000km,8,0.06886403064361182,,0.06886403064361182,0.06886403064361182,0.007374211884596169
src_merra_flx_SPEED_wmean_100km,8,0.06851583023976004,,0.06851583023976004,0.06851583023976004,0.007336925313765115
ca_lc_lc_frac_class_5,1,0.06501188454685043,,0.06501188454685043,0.06501188454685043,0.006961710012973967
src_merra_slv_V500_wmean_250km,8,0.06206189022833561,,0.06206189022833561,0.06206189022833561,0.006645813848317778
src_merra_aer_OCSMASS_wmean_250km,8,0.06024471786529523,,0.06024471786529523,0.06024471786529523,0.006451224395585314
src_merra_slv_V850_wmean_1000km,8,0.0601037550790895,,0.0601037550790895,0.0601037550790895,0.006436129585659017
src_merra_slv_V850_wmean_250km,8,0.05986387535151167,,0.05986387535151167,0.05986387535151167,0.006410442388417648
src_merra_aer_OCSMASS_wmean_1000km,8,0.05971902123478065,,0.05971902123478065,0.05971902123478065,0.006394930880608023
src_merra_flx_TLML_wmean_500km,8,0.05911641198129253,,0.05911641198129253,0.05911641198129253,0.006330401281086942
shum_2m,1,0.05876932278308526,,0.05876932278308526,0.05876932278308526,0.006293233702214293
src_viirs_count_250km,8,0.05869033130899513,,0.05869033130899513,0.05869033130899513,0.0062847750067012206
pr_wtr,1,0.05799953832332239,,0.05799953832332239,0.05799953832332239,0.006210802371101272
ca_lc_lc_frac_class_1,1,0.057813557923110985,,0.057813557923110985,0.057813557923110985,0.006190886910668255
hpbl,1,0.05745371829618642,,0.05745371829618642,0.05745371829618642,0.006152353969325504
src_merra_slv_V500_wmean_1000km,8,0.05696814429890781,,0.05696814429890781,0.05696814429890781,0.006100356932438221
src_viirs_dist_nearest_500km,8,0.05587594103148735,,0.05587594103148735,0.05587594103148735,0.005983399817965953
src_merra_aer_SSSMASS25_wmean_1000km,1,0.0556356034704809,,0.0556356034704809,0.0556356034704809,0.005957663594249094
src_merra_slv_U250_wmean_500km,8,0.05468240076943867,,0.05468240076943867,0.05468240076943867,0.0058555911680382
src_merra_flx_PBLH_wmean_500km,8,0.05388235692192975,,0.05388235692192975,0.05388235692192975,0.005769919551181633
src_merra_aer_OCSMASS_wmean_500km,8,0.05354602315357064,,0.05354602315357064,0.05354602315357064,0.005733903703014681
src_merra_aer_SUEXTTAU_wmean_250km,8,0.053517924491763576,,0.053517924491763576,0.053517924491763576,0.005730894795695397
src_merra_slv_V2M_wmean_250km,1,0.05334501872939762,,0.05334501872939762,0.05334501872939762,0.005712379415229899
src_merra_aer_BCEXTTAU_wmean_1000km,8,0.052913215021230635,,0.052913215021230635,0.052913215021230635,0.005666140297263414
ca_road_major_road_density_km_per_km2,1,0.0524106979694433,,0.0524106979694433,0.0524106979694433,0.005612328936225311
src_viirs_dist_nearest_250km,8,0.05231374236344766,,0.05231374236344766,0.05231374236344766,0.005601946575864915
src_merra_flx_PBLH_wmean_1000km,8,0.051212182406198514,,0.051212182406198514,0.051212182406198514,0.005483987512876268
src_merra_aer_BCEXTTAU_point,1,0.05048015648973559,,0.05048015648973559,0.05048015648973559,0.005405599504469531
src_merra_aer_DUSMASS25_wmean_500km,8,0.05014554661206032,,0.05014554661206032,0.05014554661206032,0.005369768256812447
src_merra_aer_BCEXTTAU_wmean_250km,8,0.04972963082471493,,0.04972963082471493,0.04972963082471493,0.005325230475428341
src_merra_flx_TLML_wmean_1000km,8,0.049229958613292435,,0.049229958613292435,0.049229958613292435,0.0052717237502855245
src_merra_aer_SUEXTTAU_wmean_1000km,8,0.04874687446684127,,0.04874687446684127,0.04874687446684127,0.005219993335717486
