rank,feature,base_variable,family,mean_abs_shap,sd_abs_shap_across_folds,min_abs_shap,max_abs_shap,mean_signed_shap,mean_rank,worst_rank,folds_in_top10,mean_abs_shap_row_weighted,sampling_se,cv_across_folds,fold1_mean_abs
1,src_merra_aer_BCSMASS_wmean_1000km,src_merra_aer_BCSMASS_wmean_1000km,merra2_aerosol,0.8287766779188437,,0.8287766779188437,0.8287766779188437,0.030725387847080156,1.0,1,1,0.8287766779188437,0.03861706828227883,,0.8287766779188437
2,src_merra_aer_BCSMASS_wmean_500km,src_merra_aer_BCSMASS_wmean_500km,merra2_aerosol,0.6800479984615542,,0.6800479984615542,0.6800479984615542,-0.018286071236120607,2.0,2,1,0.6800479984615542,0.05025220651558168,,0.6800479984615542
3,src_merra_aer_BCSMASS_wmean_250km,src_merra_aer_BCSMASS_wmean_250km,merra2_aerosol,0.35797636036582176,,0.35797636036582176,0.35797636036582176,-0.05239538283279832,3.0,3,1,0.35797636036582176,0.030689046720227667,,0.35797636036582176
4,src_merra_aer_BCSMASS_point,src_merra_aer_BCSMASS_point,merra2_aerosol,0.32231964915690514,,0.32231964915690514,0.32231964915690514,-0.055523332082152224,4.0,4,1,0.32231964915690514,0.024938475397303483,,0.32231964915690514
5,src_merra_slv_V2M_wmean_1000km,src_merra_slv_V2M_wmean_1000km,merra2_meteorology,0.22901377538029938,,0.22901377538029938,0.22901377538029938,0.0023618301971135257,5.0,5,1,0.22901377538029938,0.00952869087455189,,0.22901377538029938
6,lcdc,lcdc,narr_meteorology,0.16523347270133565,,0.16523347270133565,0.16523347270133565,-0.033134905391718185,6.0,6,1,0.16523347270133565,0.010877931541324803,,0.16523347270133565
7,src_merra_aer_SO4SMASS_point,src_merra_aer_SO4SMASS_point,merra2_aerosol,0.15423036719612326,,0.15423036719612326,0.15423036719612326,-0.002751256222138961,7.0,7,1,0.15423036719612326,0.007281802124343824,,0.15423036719612326
8,ca_road_cell_lon,ca_road_cell_lon,land_use_context,0.1524267929659645,,0.1524267929659645,0.1524267929659645,-0.02157401189728449,8.0,8,1,0.1524267929659645,0.011992391711037791,,0.1524267929659645
9,air_sfc,air_sfc,narr_meteorology,0.11939162739473917,,0.11939162739473917,0.11939162739473917,0.025009156577217542,9.0,9,1,0.11939162739473917,0.014113715875017791,,0.11939162739473917
10,src_merra_flx_SPEED_wmean_250km,src_merra_flx_SPEED_wmean_250km,merra2_meteorology,0.11345067174472279,,0.11345067174472279,0.11345067174472279,-0.011711760023146193,10.0,10,1,0.11345067174472279,0.006075575670015007,,0.11345067174472279
11,src_merra_slv_V2M_wmean_500km,src_merra_slv_V2M_wmean_500km,merra2_meteorology,0.10940261832892659,,0.10940261832892659,0.10940261832892659,0.004116645528802403,11.0,11,0,0.10940261832892659,0.004711881010651934,,0.10940261832892659
12,src_merra_aer_OCSMASS_point,src_merra_aer_OCSMASS_point,merra2_aerosol,0.10766588400706721,,0.10766588400706721,0.10766588400706721,-0.005397876646713981,12.0,12,0,0.10766588400706721,0.010315489031481774,,0.10766588400706721
13,src_merra_flx_TLML_wmean_250km,src_merra_flx_TLML_wmean_250km,merra2_meteorology,0.099599050575423,,0.099599050575423,0.099599050575423,-0.013766740378384027,13.0,13,0,0.099599050575423,0.007750884567945679,,0.099599050575423
14,ca_lc_lc_frac_class_6,ca_lc_lc_frac_class_6,land_use_context,0.09049007836271812,,0.09049007836271812,0.09049007836271812,-0.011635600803926175,14.0,14,0,0.09049007836271812,0.006535366350174132,,0.09049007836271812
15,dayofyear,dayofyear,seasonality,0.08940103594748623,,0.08940103594748623,0.08940103594748623,0.001883809793468568,15.0,15,0,0.08940103594748623,0.008150666534541016,,0.08940103594748623
16,mcdc,mcdc,narr_meteorology,0.08163145381744008,,0.08163145381744008,0.08163145381744008,0.0014132646550510746,16.0,16,0,0.08163145381744008,0.0042343289346256285,,0.08163145381744008
17,src_merra_aer_BCSMASS_wmean_100km,src_merra_aer_BCSMASS_wmean_100km,merra2_aerosol,0.07565440044744866,,0.07565440044744866,0.07565440044744866,-0.017342799597194255,17.0,17,0,0.07565440044744866,0.013563058904830491,,0.07565440044744866
18,src_merra_slv_V250_wmean_500km,src_merra_slv_V250_wmean_500km,merra2_meteorology,0.07495592361456825,,0.07495592361456825,0.07495592361456825,0.007050894515941364,18.0,18,0,0.07495592361456825,0.005683833983345739,,0.07495592361456825
19,ca_road_major_road_length_km,ca_road_major_road_length_km,land_use_context,0.07200728891345275,,0.07200728891345275,0.07200728891345275,-0.020942972207072794,19.0,19,0,0.07200728891345275,0.006553094337878652,,0.07200728891345275
20,ca_lc_lc_pixel_count,ca_lc_lc_pixel_count,land_use_context,0.07063924065633444,,0.07063924065633444,0.07063924065633444,-0.01369395097713439,20.0,20,0,0.07063924065633444,0.0035358390747868475,,0.07063924065633444
21,ca_lc_lc_frac_class_5,ca_lc_lc_frac_class_5,land_use_context,0.06501188454685043,,0.06501188454685043,0.06501188454685043,-0.001432703275809954,21.0,21,0,0.06501188454685043,0.007330898650952269,,0.06501188454685043
22,shum_2m,shum_2m,narr_meteorology,0.05876932278308526,,0.05876932278308526,0.05876932278308526,0.011754391005629158,22.0,22,0,0.05876932278308526,0.003949023287334368,,0.05876932278308526
23,src_merra_flx_QLML_wmean_1000km_lag1,src_merra_flx_QLML_wmean_1000km,merra2_meteorology,0.05848946300655792,,0.05848946300655792,0.05848946300655792,-0.0014469291742502217,23.0,23,0,0.05848946300655792,0.004321205503313435,,0.05848946300655792
24,pr_wtr,pr_wtr,narr_meteorology,0.05799953832332239,,0.05799953832332239,0.05799953832332239,0.010732892776749863,24.0,24,0,0.05799953832332239,0.003944308440997807,,0.05799953832332239
25,ca_lc_lc_frac_class_1,ca_lc_lc_frac_class_1,land_use_context,0.057813557923110985,,0.057813557923110985,0.057813557923110985,-0.003499753897782353,25.0,25,0,0.057813557923110985,0.0038793597720021365,,0.057813557923110985
26,hpbl,hpbl,narr_meteorology,0.05745371829618642,,0.05745371829618642,0.05745371829618642,-0.0038847970511146014,26.0,26,0,0.05745371829618642,0.004086367082520787,,0.05745371829618642
27,src_merra_aer_SSSMASS25_wmean_1000km,src_merra_aer_SSSMASS25_wmean_1000km,merra2_aerosol,0.0556356034704809,,0.0556356034704809,0.0556356034704809,-0.0005496895688311596,27.0,27,0,0.0556356034704809,0.0036008224955231967,,0.0556356034704809
28,src_merra_flx_QLML_wmean_1000km_roll3_mean,src_merra_flx_QLML_wmean_1000km,merra2_meteorology,0.05559629625832845,,0.05559629625832845,0.05559629625832845,-0.005076465684084781,28.0,28,0,0.05559629625832845,0.004997663449302898,,0.05559629625832845
29,src_merra_aer_DUSMASS25_wmean_250km,src_merra_aer_DUSMASS25_wmean_250km,merra2_aerosol,0.05472438020704173,,0.05472438020704173,0.05472438020704173,-0.0014581118946537432,29.0,29,0,0.05472438020704173,0.0028271811036606363,,0.05472438020704173
30,src_merra_slv_V2M_wmean_250km,src_merra_slv_V2M_wmean_250km,merra2_meteorology,0.05334501872939762,,0.05334501872939762,0.05334501872939762,0.00030011743442666654,30.0,30,0,0.05334501872939762,0.002667021161455373,,0.05334501872939762
31,ca_road_major_road_density_km_per_km2,ca_road_major_road_density_km_per_km2,land_use_context,0.0524106979694433,,0.0524106979694433,0.0524106979694433,-0.011063744318020057,31.0,31,0,0.0524106979694433,0.0028366534277879433,,0.0524106979694433
32,src_merra_flx_SPEED_wmean_500km,src_merra_flx_SPEED_wmean_500km,merra2_meteorology,0.051204048398195694,,0.051204048398195694,0.051204048398195694,0.0012749606662589388,32.0,32,0,0.051204048398195694,0.0033440836804784118,,0.051204048398195694
33,src_merra_aer_BCEXTTAU_point,src_merra_aer_BCEXTTAU_point,merra2_aerosol,0.05048015648973559,,0.05048015648973559,0.05048015648973559,-0.0034408097478415213,33.0,33,0,0.05048015648973559,0.003437887026528844,,0.05048015648973559
34,src_merra_slv_V250_wmean_250km,src_merra_slv_V250_wmean_250km,merra2_meteorology,0.04830093300156957,,0.04830093300156957,0.04830093300156957,0.005997141863120249,34.0,34,0,0.04830093300156957,0.0035179808788183835,,0.04830093300156957
35,src_merra_aer_SO4SMASS_wmean_250km,src_merra_aer_SO4SMASS_wmean_250km,merra2_aerosol,0.047663797451142374,,0.047663797451142374,0.047663797451142374,-0.0013941739066672357,35.0,35,0,0.047663797451142374,0.0028822007405007954,,0.047663797451142374
36,src_merra_flx_SPEED_wmean_1000km,src_merra_flx_SPEED_wmean_1000km,merra2_meteorology,0.04675194213183861,,0.04675194213183861,0.04675194213183861,0.0004545966782176246,36.0,36,0,0.04675194213183861,0.0032992175884429386,,0.04675194213183861
